Tjänstekategori;Tjänstegrupp;Tjänst;Sign. Tj.Äg;Tj.nr;SV;PV;TV;Produkter/Aktiviteter;Beskrivning;Prismodell;Debiteringsintervall;Pris;Volym;Årsintäkt HK;Tjänsteägare;Processledare;Samverkan;KPI:er;Processbeskrivning (J/N);Processen dokumenterad (J/N)
Praktikerservice;Pension;Pension praktiker- Bas;;;Bas;Bas;Bas;Information/rådgivning 3P Bas;Information/rådgivning vid nyanställning, förändrad familjesituation och pensionsavgång för praktiker som omfattas av 3P;Påslag på sociala avgifter;;;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Frivillig förtida ålderspension;;;Plus;Plus;Plus;Frivillig förtida ålderspension med omedelbar avdragsrätt för bolaget;Utredning och handläggning av frivillig förtida ålderspension med omedelbar avdragsrätt för bolaget;Rörlig avgift med tak;;0,5% av premien max 500 kr;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Förmånsbestämd direktpension;;;Plus;Plus;Plus;Förmånsbestämd direktpension;Utredning och handläggning av förmånsbestämd direktpension, säkerställd genom skuldföring för anställda och före detta praktiker;Rörlig avgift med tak;;2% på avsatt kapital max 20 000 kr;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Fivillig extra ålderspension;;;Plus;Plus;Plus;Frivillig extra ålderspension (direktpension) säkerställd med företagsägd kapitalförsäkring med avdragsrätt för bolaget vid utbetalning av pensionen;Utredning och hantering av frivillig extra ålderspension (direktpension) säkerställd med företagsägd kapitalförsäkring med avdragsrätt för bolaget vid utbetalning av pensionen;Rörlig avgift med tak;;0,5% av premien max 500 kr;;;Tomas Esping;Björn Folke;;;;
Praktikerservice;Pension;Pensionsrådgivning;;;Plus;Plus;Plus;Information/rådgivning av annat skäl än nyanställning, förändrad familjesituation och pensionsavgång för praktiker som omfattas av 3P samt samtliga praktiker som enbart omfattas av PTP;Information/rådgivning av annat skäl än nyanställning, förändrad familjesituation och pensionsavgång för praktiker som omfattas av 3P samt samtliga praktiker som enbart omfattas av PTP;Fast pris per styck;;3 000 kr;400;1 200 000 kr;Tomas Esping;Björn Folke;;;;
Praktikerservice;HR;Rekrytering medarbetare Bas;Ja;;Bas;Bas;Bas;Rådgivning och stöd vid rekrytering;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Rekrytering medarbetare Bas;Ja;;Bas;Bas;Bas;Introduktionsprogram nya medarbetare;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Rekrytering medarbetare Plus;Ja;;Plus;Plus;Plus;Genomförande av rekryteringsprocess för enskild verksamhet;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;HR;Rådgivning rehab medarbetare;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Företagsgemensamt;HR;Uppföljningar, statistik personal;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Klas Wahlström;;;;;
Praktikerservice;HR;Utbildning personalwebben;Ja;;Bas;Bas;Bas;;;Fast avgift per anställd;;;;0;Tomas Esping;Shqiponje Ferati;;;;
Praktikerservice;HR;Utredningar & kartläggningar personal i verksamheter;Ja;;Plus;Plus;Plus;;;Fast avgift per anställd;;;;0;Tomas Esping;Åsa Lundqvist;;;;
Praktikerservice;Inköpstjänster;Centralupphandling;Ja;;Bas;Bas;Bas;;Genomföra centrala upphandlingar och ge enheter tillgång till dessa avtal;Fast pris per månad;;;;0;Göran Adamsson;;;;;
Praktikerservice;Inköpstjänster;Centralupphandling;Ja;;Bas;Bas;Bas;Travel management ;Resetjänst;Fast pris per månad;;;;0;Göran Adamsson;;;;;
Praktikerservice;Inköpstjänster ;Inköpssupport centralt upphandlade avtal;Ja;;Bas;Bas;Bas;;Stöd i frågor med leverantör vid köp på centralt upphandlade avtal;Fast pris per timme;;;;0;Göran Adamsson;;;;;
